"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sh3bp5l",-2.95717042546579,4.75956631411516,-12.4331608579322,0.000000135590340990899,0.00000445651660184282,8.1551968735515
"Ext1",-2.5705031740559,5.22646496627948,-12.462477364307,0.000000132483660511897,0.00000436818752808056,8.14378945593333
"Ngp",-5.620942918715,8.21766528860862,-12.7085928527906,0.000000109262417877998,0.00000372077192451218,8.13808804818402
"Chst10",-5.05118733662531,2.8899356882079,-12.5640586478985,0.000000122304830106993,0.00000405826122574765,8.1083777184067
"Rpl32",2.07565415615606,8.80141921892917,12.6204474782277,0.000000117024850199766,0.00000392052062453815,8.10553068140478
"Itgb2",-3.64840190266669,5.29584986457621,-12.3545118773652,0.00000014432398303328,0.00000469176779788999,8.08972407968677
"Fgfr1op2",-2.00172232669113,7.54747426273946,-12.6351555750434,0.000000115688869047629,0.00000388200427248712,8.07617583825263
"Znfx1",-2.93799517631706,5.82564294131209,-12.403430827332,0.000000138822106436575,0.00000454124812233177,8.07566685155484
"Nptn",-2.92595385719653,5.79540674429705,-12.4055351560657,0.000000138590618938486,0.00000454080395823925,8.06524954834601
"Fahd1",-3.14035510902728,4.31579448325499,-12.3138581818719,0.000000149077236857379,0.00000482935798360764,8.06387702191749
"Gm23547",-3.14601968356433,4.955281120102,-12.3123931697473,0.000000149251681612598,0.00000482935798360764,8.04094403339994
"Usp4",-2.19794171695119,6.80544314969295,-12.4827962993656,0.000000130376005293693,0.00000431234158461899,8.03245780693834
"Rrm2",-2.25386917727294,6.39806874768251,-12.4474287986015,0.000000134068558328095,0.00000441346069263956,8.03041990704505
